-7.499777e+00 -8.886629e+00 -9.534985e+00 -9.730310e+00 -9.591438e+00 -9.205010e+00 -8.768866e+00 -8.896065e+00 -9.924965e+00 -1.097375e+01 -1.158191e+01 -1.179340e+01 -1.169331e+01 -1.130245e+01 -1.061591e+01 -9.630381e+00 -8.346681e+00 -6.764382e+00 -4.876068e+00 -2.661284e+00 -7.524372e-02 2.982261e+00 6.801934e+00 
-9.379105e+00 -1.076713e+01 -1.141671e+01 -1.161331e+01 -1.147577e+01 -1.109068e+01 -1.065550e+01 -1.078275e+01 -1.181202e+01 -1.286241e+01 -1.347255e+01 -1.368624e+01 -1.358858e+01 -1.320031e+01 -1.251649e+01 -1.153389e+01 -1.025339e+01 -8.674676e+00 -6.790379e+00 -4.580064e+00 -1.998864e+00 1.053785e+00 4.869767e+00 
-1.053829e+01 -1.192754e+01 -1.257841e+01 -1.277637e+01 -1.264025e+01 -1.225662e+01 -1.182256e+01 -1.195007e+01 -1.297987e+01 -1.403202e+01 -1.464427e+01 -1.486033e+01 -1.476543e+01 -1.438029e+01 -1.370004e+01 -1.272161e+01 -1.144620e+01 -9.873791e+00 -7.997287e+00 -5.796408e+00 -3.226488e+00 -1.878317e-01 3.607189e+00 
-1.126424e+01 -1.265477e+01 -1.330700e+01 -1.350640e+01 -1.337181e+01 -1.298976e+01 -1.255698e+01 -1.268495e+01 -1.371544e+01 -1.476949e+01 -1.538399e+01 -1.560262e+01 -1.551085e+01 -1.512972e+01 -1.445500e+01 -1.348545e+01 -1.222697e+01 -1.068767e+01 -8.870348e+00 -6.762383e+00 -4.319463e+00 -1.431798e+00 2.202700e+00 
-1.167420e+01 -1.306606e+01 -1.371972e+01 -1.392065e+01 -1.378768e+01 -1.340733e+01 -1.297599e+01 -1.310462e+01 -1.413596e+01 -1.519209e+01 -1.580897e+01 -1.603037e+01 -1.594225e+01 -1.556711e+01 -1.490382e+01 -1.395875e+01 -1.275602e+01 -1.132812e+01 -9.687324e+00 -7.799108e+00 -5.577854e+00 -2.878843e+00 6.153325e-01 
-1.183250e+01 -1.322574e+01 -1.388090e+01 -1.408345e+01 -1.395223e+01 -1.357372e+01 -1.314400e+01 -1.327356e+01 -1.430595e+01 -1.536448e+01 -1.598398e+01 -1.620847e+01 -1.612475e+01 -1.575955e+01 -1.512041e+01 -1.423294e+01 -1.315689e+01 -1.193615e+01 -1.053048e+01 -8.840614e+00 -6.758618e+00 -4.149187e+00 -7.123419e-01 
-1.178033e+01 -1.317502e+01 -1.383178e+01 -1.403607e+01 -1.390675e+01 -1.353028e+01 -1.310246e+01 -1.323346e+01 -1.426726e+01 -1.532906e+01 -1.595181e+01 -1.617998e+01 -1.610190e+01 -1.575342e+01 -1.516053e+01 -1.438459e+01 -1.351776e+01 -1.254198e+01 -1.132430e+01 -9.749323e+00 -7.734032e+00 -5.166934e+00 -1.766060e+00 
-1.154722e+01 -1.294348e+01 -1.360199e+01 -1.380823e+01 -1.368105e+01 -1.330690e+01 -1.288146e+01 -1.301509e+01 -1.405104e+01 -1.511834e+01 -1.574580e+01 -1.597887e+01 -1.590842e+01 -1.558737e+01 -1.507897e+01 -1.452176e+01 -1.399402e+01 -1.330133e+01 -1.225850e+01 -1.079235e+01 -8.855297e+00 -6.354478e+00 -3.011494e+00 
-1.115696e+01 -1.255500e+01 -1.321554e+01 -1.342407e+01 -1.329945e+01 -1.292812e+01 -1.250601e+01 -1.264482e+01 -1.368469e+01 -1.476217e+01 -1.539731e+01 -1.563756e+01 -1.557773e+01 -1.529953e+01 -1.494259e+01 -1.477127e+01 -1.463961e+01 -1.416498e+01 -1.323530e+01 -1.184003e+01 -9.956615e+00 -7.502036e+00 -4.196425e+00 
-1.063183e+01 -1.203200e+01 -1.269504e+01 -1.290645e+01 -1.278512e+01 -1.241753e+01 -1.200072e+01 -1.215033e+01 -1.319825e+01 -1.429429e+01 -1.494223e+01 -1.519326e+01 -1.514790e+01 -1.493243e+01 -1.482443e+01 -1.512931e+01 -1.527330e+01 -1.490582e+01 -1.402676e+01 -1.266367e+01 -1.080717e+01 -8.382189e+00 -5.120616e+00 
